vendor_code,I,Iu,MaxValuePerOrder,AvgValuePerOrder,TotMonthBusiness,Eram,Egeo,Ecur
1,778,60,565.4390976504,132.59640535380933,25,5.35904229348513,2.8036677249455693,0.6420024433012385
2,3950,196,1761.99,149.26949672824574,20,6.855648062802341,2.8063036719664947,0.0
3,3051,203,860.1542359183003,155.09854871496304,3,7.373180274510565,4.18304785291506,0.0
4,407,101,774.0778404364,142.14018389055997,2,6.486557644076933,1.5791611260525733,0.8982956820541013
5,13042,276,1188.115657927,165.86694163535245,17,7.614150240931954,4.3232815417176935,1.0936420058757577
7,17611,246,1420.2485106383,212.26100345757052,16,7.005548502712194,2.8071962698218855,0.583563275539914
8,4684,114,962.6403850562,155.82362828970355,25,5.745330967813481,3.456055306000595,0.4522618049226864
9,1072,82,746.5755253530998,214.3881924475494,16,5.990747707165812,3.988831908642022,0.0
10,18488,293,1203.7856849627,204.87117406568865,18,7.271900749076678,2.8072575738126835,0.5917926102602902
11,97,20,781.1621831533,284.83734242425254,4,4.097427273816312,3.361595359443516,0.5683625344629002
12,133,24,2047.5646939254,433.7267789241333,2,4.479759780544522,2.774764614771195,0.6643689507115366
13,5417,209,999.95,126.13848137778967,25,6.874480906471347,2.807124948075693,0.0
14,3766,92,879.99,145.0984506107203,25,5.8422548758494655,2.8067161991305847,0.0
15,4845,79,1089.5177533327,156.23207095622917,9,5.836890289925903,3.457767541073395,0.4507405572558494
16,19211,295,2129.2186957723,177.21142881654117,23,7.580139234663099,3.4589845999391327,0.44441383315700267
17,2610,322,2327.7544901019,312.75227614175253,6,8.167767150930619,1.5847891383834323,0.9120431990511212
18,1783,187,2116.8694465843,321.8027401560409,14,7.080252333342273,3.9958296441596284,0.0
20,3238,109,532.6104289587,121.00244891340489,25,5.776424488106911,2.806844389849945,0.5944032869136682
21,1010,92,2370.8426254529,400.5495725366321,25,5.346033556160603,2.801889642408128,0.556623016874347
22,2998,238,1864.99,343.72565837541015,18,7.226031162386397,2.8063319843173056,0.0
23,965,137,3121.9086628594,487.5799849055568,7,7.008475560939416,3.9920914787948756,0.0
24,969,137,3180.8422330266,518.2478191084118,7,7.003463667843911,3.45298937409068,0.4854607607459134
25,3985,190,1172.9148215359,196.18829621420156,5,6.747727624146232,1.9987639731679239,0.0
26,982,99,479.99,128.14410047522313,24,3.633689130476124,2.798112256587222,0.0
27,594,16,466.99,140.57080808081002,24,2.4409569638342927,2.798427819259614,0.0
28,3230,197,1588.98,98.24203430880759,24,7.2304641651275015,2.8059335408791335,0.0
29,463,48,640.0058918839,146.8190771544762,21,4.904123501743087,2.796261935212653,0.6019472899222518
30,56670,393,6245.039361935898,152.7064325438286,25,7.960371762065581,3.4592769506609713,0.44108834791278795
31,3561,48,241.0752399654,90.43774070435002,10,5.4048257076815505,2.5843996229971475,0.0
33,7088,302,2208.9552238806,187.25967044045439,25,7.62478863823948,2.8064290693948752,0.6040910287868736
34,150,47,632.9019607843003,176.4339389762287,3,5.507021797111313,2.768585808120684,0.6652735227649414
35,659,52,294.4184545894,117.29739123437759,12,4.819413333287214,2.795615932032295,0.5711352657581144
36,308,72,854.6955534742999,200.78617161493514,7,5.966548117441413,1.9947107269891624,0.0
37,1204,51,498.9813953819,111.53252156650265,25,5.078148200549382,3.453561053417304,0.4626447689688101
38,1068,50,587.5472226109,152.52597956231457,6,5.348400425458512,3.450586114408009,0.4725472219330292
39,13290,544,3195.8757740411,356.6287044281147,13,8.924491628173593,2.5846307886076265,0.0
40,5984,189,1787.6259107377,137.33079857266466,23,7.3758291450312505,2.584321768764503,0.6491162450811712
41,482,41,624.4805675749,227.83747742663118,3,5.167022143046383,3.6668140945127874,1.5190962961333547
42,2561,110,860.5961454052,137.56026853586877,3,6.385184680100681,2.582774533792207,0.6561971974508493
43,250531,774,6044.2345436703,207.34767944103396,25,9.190009594587119,3.999962718895873,0.0
44,7,4,209.99,114.99000000000001,1,1.9502120649147465,1.8423709931771088,0.0
45,79525,779,2125.5639886678,200.99334349761503,25,9.035796863796035,3.4593194632713624,0.4443429132909507
46,16569,370,1686.3934688651002,158.724574038374,25,7.841344976603498,2.8070534881676372,0.5901105104188726
47,121439,1251,2199.99,160.3577796598315,25,9.774091501072226,2.8073160535418005,0.0
48,1122,176,1037.9310344828,129.78920854513765,15,7.201862692856455,2.8060338326217287,0.5746356978376794
49,4809,686,1963.99,244.99745090400134,4,8.975166642915482,2.8068871164577236,0.0
50,57074,1084,2103.0827342512,158.9866441262228,25,9.479393093870318,2.5849011351616866,0.6484197634579805
51,20030,500,2156.2441133916,208.53211280507142,14,8.022312625904696,2.5848759104056995,0.6543705249095868
52,50512,905,5067.49,174.19338913038197,23,9.213127515797428,2.807065538911604,0.00017133806129042447
53,11761,218,1612.2204161018,239.78759619384155,15,7.12511691532232,3.458559300514022,0.45008953239293514
55,8913,370,603.14,109.0803481810088,25,7.582990133645234,2.8065455019962657,0.0
56,3740,275,7036.4683301343,232.61372973749042,25,7.763252351869432,3.4533819180931014,0.4389704164883001
57,18081,260,1188.0079691545,168.01527946267146,25,7.198488771272868,2.807153218406391,0.5952356885339656
58,7428,309,1322.3588405,164.66363224975734,25,7.336801908396528,2.807030130554373,0.5940540700304084
59,11582,271,2236.3853202343,256.41586098332056,13,7.660071038082783,2.584498472842634,0.0
60,1883,40,367.9981710712,127.00598951641778,25,4.947072646623404,2.8031759417634947,0.6145382020946543
61,106,10,327.9898946898,100.6630866249255,9,3.188052454222015,3.3463766249760987,0.3860189005698934
62,27824,210,1135.1982215635,137.9727489162536,25,7.310847146065161,3.4583896619080834,0.4474318956459448
63,42645,498,1839.9536815205,202.76339942546187,23,8.322334248638438,2.584886434804649,0.6576699100507177
64,4474,166,2266.3895711317,159.22193974675733,25,6.8627477676652875,2.8065910480132605,0.6013293774163614
65,13420,224,1341.99,158.06759958434367,25,7.169270541195168,2.806935503501477,0.0
66,53,14,318.8398325152,123.81139783160748,9,3.602841388844507,2.6793017512107076,0.45079138835466503
67,1964,117,1153.3859200474,183.98817084244143,25,6.500913666010624,2.8027172955420037,0.551374786588861
68,321751,1660,6108.1938901725,220.95316367078428,38,10.120643260337607,3.4594007996974865,0.4411726411872855
69,1880,60,1269.4578398337,159.00951383907156,25,5.4538467961613195,2.804552607075057,0.6190802169429821
70,10356,176,2139.1815766165,282.1651594123334,22,7.0981178844269115,3.4584635214515753,0.43806647053824177
71,3392,235,1952.4985749572,229.09841929629465,24,7.449271821582316,2.8054076871369786,0.5773414257253139
72,68,6,458.7551516432,285.9779186701617,2,2.560471652649561,3.3316219386852586,0.4305518670104394
73,2761,97,922.3561938407,174.00126180296633,20,5.79331955605573,2.805438939339005,0.5808711174368819
74,13628,231,1230.6098238554,174.97513090691953,25,7.3180122069962605,2.5846144493180456,0.6570732411932865
75,1154,218,1198.0487804878,238.41865620447612,3,7.484699410718576,2.8048303484411865,0.5897495220123213
76,3570,283,2134.2958792442,225.06546453543794,4,7.848929916458704,3.45804246364114,0.4389892310236515
77,76,15,253.4278231397,116.11910572823031,17,3.6972623010876804,2.760612351008141,0.596510991708588
78,4092,128,824.99,110.63574167210129,25,6.399070145878374,2.8058749414431725,0.0
79,7685,270,2024.5283726512,153.70646576138213,25,7.761570871163448,2.8064614103690664,0.5739580228104079
80,30864,373,1148.4316135939998,143.23630981072324,25,7.1530152788472945,2.5848826851917206,0.6504736111403028
81,34,6,323.959410139,150.410315175603,4,2.4275051383754205,3.337935092563163,0.3227569588973982
