vendor_code,name,I,Iu,MaxValuePerOrder,AvgValuePerOrder,AvgMemoryPerOrder,IAvgMonthSales,TotMonthBusiness,Eram,Egeo,Ecur
1,1stWave Technologies,774,60,565.4390976504,132.98988582004415,13.074935400516797,4117.366864988568,25,5.361843018235527,0.643987784814672,0.643987784814672
2,Adorama,3274,186,1761.99,146.24800346912198,14.628894318875993,23940.798167895704,20,6.754710774712491,0.0,0.0
3,Alternate,3047,203,860.1542359183003,155.13419542201044,11.530029537249753,157564.63115028842,3,7.373634024629515,1.6799952773862827,0.0
4,Alternate Italia,407,101,774.0778404364,142.14018389055997,10.034398034398034,28925.527421728948,2,6.486557644076933,0.8982956820541013,0.8982956820541013
5,Alza,12959,276,1188.115657927,166.03670548347728,13.514777374797438,126568.80390355265,17,7.612859017930811,1.1658939655331444,1.0946589280538772
7,Aquila Technology,17225,246,1274.858495951,214.47461790304058,17.739274310595064,230895.33083624265,16,7.005940871017787,0.5826401499606173,0.5826401499606173
8,Aria PC,4659,114,962.6403850562,156.1075106790927,16.201330757673322,29092.195690155724,25,5.742595850326509,0.453218192500093,0.453218192500093
9,ARLT,1068,82,746.5755253530998,214.5360353513655,15.94569288389513,14320.280359703656,16,5.991493370259991,0.3158889266555612,0.0
10,Ascent Technology,18116,293,1203.7856849627,207.36990966950245,16.04979024067123,208706.2935318164,18,7.2718105026106015,0.5928131465538736,0.5928131465538736
11,AWD-IT,97,20,781.1621831533,284.83734242425254,16.329896907216494,6907.305553788125,4,4.097427273816312,0.5683625344629002,0.5683625344629002
12,AX86 Gaming Systems,123,24,2047.5646939254,457.4126623293319,29.902439024390244,28130.878733253903,2,4.437445453591538,0.640497300480551,0.640497300480551
13,B H,4010,191,904.2,116.99756874454458,14.566583541147132,18766.410026625388,25,6.740932216294712,0.0,0.0
14,Best Buy,3751,91,879.99,144.86722385141016,17.034390829112237,21735.87826666653,25,5.8334874042045906,0.0,0.0
15,Box Limited,4815,79,1089.5177533327,156.461888477915,12.509241952232607,83707.11033568448,9,5.837623730417552,0.4506251427804667,0.4506251427804667
16,BT Shop,19046,295,2129.2186957723,177.30121129730068,16.58169694424026,146820.82045079998,23,7.579431441430201,0.44549372412667787,0.44549372412667787
17,Bytes At Work,2596,322,2327.7544901019,313.878614610746,19.545454545454547,135804.81392158297,6,8.16540621680608,0.9122757268017939,0.9122757268017939
18,Caseking,1770,187,2116.8694465843,320.37148309622125,21.694915254237287,40504.10893430792,14,7.079598384660933,0.3247477475036633,0.0
20,Centre Com,3161,109,532.6104289587,121.70328945272438,13.03764631445745,15388.163918402388,25,5.7833570687675655,0.5977152339427972,0.5977152339427972
21,Computer Lounge,973,92,2057.3420869904003,367.32257861985966,19.371017471736895,14296.19475988495,25,5.274771788263511,0.558873923907995,0.558873923907995
22,Corsair,2859,231,1864.99,330.9373711084123,30.89052116124519,52563.885777720454,18,7.236990398468203,0.0,0.0
23,Corsair DE,943,137,3121.9086628594,475.8836839000673,25.83457051961824,64108.330559680486,7,7.002753380231532,0.3164870917816789,0.0
24,Corsair UK,959,137,3180.8422330266,499.45842928396956,26.329509906152243,68425.80481190381,7,7.002291170984055,0.48884046733772946,0.48884046733772946
25,Custompcparts,3949,190,1172.9148215359,195.99541724146619,12.389972144846796,154797.18053730973,5,6.746714227594688,0.7900528490260148,0.0
26,Dell,968,91,479.99,127.39331336088418,9.444214876033058,5138.1969722222075,24,3.5341689580086038,0.0,0.0
27,Dell Small Business,594,16,466.99,140.57080808081002,10.875420875420875,3479.1274999999973,24,2.4409569638342927,0.0,0.0
28,Directron,2887,192,1588.98,85.10098206656974,10.32351922410807,10236.938967757762,24,7.219969836672365,0.0,0.0
29,DTC Systems,460,48,640.0058918839,147.16077091299866,13.756521739130434,3223.5216485704523,21,4.89833922741558,0.6043732420352781,0.6043732420352781
30,Ebuyer,56235,393,6245.039361935898,152.94784480214426,15.788281319462968,344040.882097946,25,7.960205554429511,0.44142731006872793,0.44142731006872793
31,Electronicamente,3529,48,241.0752399654,90.6594670154892,6.960895437801077,31993.72590976609,10,5.406092891637276,0.6525384703035477,0.0
32,geizhals_unknown,2020083,1733,10630.7414939364,164.00640293629178,14.541547117123406,5343653.975205881,62,10.51278930882603,0.3376415968188098,0.0
33,IJK,6937,302,1680.0157822056,188.70770644301075,19.629522848493586,52362.6143838067,25,7.62989133180368,0.6038376016047198,0.6038376016047198
34,JW Computers,148,47,632.9019607843003,178.2800105706615,11.83108108108108,8795.147188152634,3,5.5093553117395455,0.6705250693158381,0.6705250693158381
35,Kogan,542,50,294.4184545894,124.93070308021862,10.642066420664207,5642.703422456542,12,4.831705329101556,0.544857946920665,0.544857946920665
36,Komplett,300,72,854.6955534742999,203.1636216988421,14.2,8707.012358521799,7,5.965452767086392,0.8462071998957049,0.0
37,Kustom PCs,1195,51,498.9813953819,111.7521428209361,10.615062761506277,5341.752426840748,25,5.076665392431703,0.46500393255111616,0.46500393255111616
38,Laptops Direct,1063,50,587.5472226109,153.0085667154997,11.046095954844779,27108.01773642935,6,5.34402492552691,0.47107956358706105,0.47107956358706105
39,LDLC,13146,544,3195.8757740411,350.16838529636146,20.751559409706374,354101.045623535,13,8.92339062148289,0.6533674953422924,0.0
40,Memory Express,5813,189,1787.6259107377,139.0109655054965,17.703423361431273,35133.51054275845,23,7.375118541872353,0.6492896033582699,0.6492896033582699
41,Mighty Ape,480,41,624.4805675749,228.249902562969,12.516666666666667,36519.98441007506,3,5.165624452683544,1.5221733136401276,1.5221733136401276
42,Mike's Computer Shop,2147,110,860.5961454052,148.60076493674768,12.410805775500698,106348.6141063992,3,6.386529894582763,0.643675306415121,0.643675306415121
43,Mindfactory,248228,774,6044.2345436703,207.34526331838072,19.361699727669723,2058756.00091984,25,9.189417627427689,0.3343358842534025,0.0
44,Monoprice,7,4,209.99,114.99000000000001,9.142857142857142,804.9300000000001,1,1.9502120649147465,0.0,0.0
45,More Computers,78893,779,2125.5639886678,201.05431722754903,17.755047976373064,634471.1299613222,25,9.035297332254917,0.4440244321955281,0.4440244321955281
46,Mwave Australia,16082,370,1686.3934688651002,160.61621115508387,16.749533640094516,103321.19631184236,25,7.850382545774791,0.5898328121917596,0.5898328121917596
47,Newegg,114370,1248,2199.99,156.49049592746718,18.816988720818397,715912.7207686545,25,9.795332363686253,0.0,0.0
48,Newegg Australia,923,171,1037.9310344828,143.90405453713404,17.003250270855904,8854.896155851648,15,7.182671990449783,0.5721386310496823,0.5721386310496823
49,Newegg Business,4458,680,1963.99,237.14757202099733,19.924854194706146,264300.96901740466,4,9.006486833393947,0.0,0.0
50,Newegg Canada,54759,1082,2103.0827342512,161.60257955358338,19.58291787651345,353967.82615098887,25,9.491199314351533,0.6489825156826079,0.6489825156826079
51,Newegg Canada Marketplace,17887,497,2156.2441133916,220.5815571681258,15.171744842623134,281824.45093330514,14,8.030461977358232,0.6561947268679581,0.6561947268679581
52,Newegg Marketplace,39137,891,5067.49,167.35025791716424,14.982037458159798,284764.6540914454,23,9.211984424035808,0.0,0.0
53,Novatech,11689,218,1612.2204161018,239.73990352548213,18.425186072375737,186821.31548729047,15,7.125916939366287,0.44890823852260786,0.44890823852260786
55,OutletPC,7772,359,603.14,103.19684074343336,12.860910962429234,32081.83385031717,25,7.546008031728054,0.0,0.0
56,Overclockers.co.uk,3704,275,2136.6922359209,229.40712529762877,18.792116630669547,33988.959684096575,25,7.776207108424929,0.437945983395814,0.437945983395814
57,Paradigm PCs,17758,260,1188.0079691545,168.4593223973714,14.625971393174908,119660.02588530089,25,7.192593664413191,0.5948868902367201,0.5948868902367201
58,PB Technologies,7192,305,1169.5802199987,166.9078904626191,14.802002224694105,48016.06192828639,25,7.324472035351846,0.5965297471499449,0.5965297471499449
59,PC Componentes,11470,271,2236.3853202343,255.7884804661367,20.039581517000872,225684.14391896824,13,7.6584570727792745,0.640901071306518,0.0
60,PC Force,1841,40,367.9981710712,128.08005597598853,12.139054861488322,9431.815322071796,25,4.953298745430514,0.6190738179976505,0.6190738179976505
61,PC World,106,10,327.9898946898,100.6630866249255,8.943396226415095,1185.5874646935667,9,3.188052454222015,0.3860189005698934,0.3860189005698934
62,PC World Business,27633,210,1135.1982215635,138.13415386956828,14.346614555060977,152682.44295511188,25,7.313851795261094,0.44737104324613997,0.44737104324613997
63,PC-Canada,41264,498,1839.9536815205,205.92960700237816,21.495565141527724,369455.6218846117,23,8.336262375741802,0.6564347936299237,0.6564347936299237
64,PCCaseGear,4369,166,1222.6640159046,159.43966196807028,18.314488441290912,27863.675325539993,25,6.857839513210631,0.6021404940537525,0.6021404940537525
65,PCM,11304,221,1341.99,144.09527924684548,15.163128096249116,65154.121464257354,25,7.14802803740214,0.0,0.0
66,Playtech,52,14,318.8398325152,125.21654297555955,9.923076923076923,723.4733594143446,9,3.6181190462662087,0.4566836315394428,0.4566836315394428
67,PLE Computers,1941,117,1153.3859200474,185.04419439693396,17.92478104070067,14366.831252977961,25,6.499293749040128,0.5512882875187815,0.5512882875187815
68,pricespy_unknown,318591,1659,4465.5896017854,220.57450159982926,20.1716354197074,1849290.8168208615,38,10.11813302578292,0.4412065862307802,0.4412065862307802
69,RamCity,1248,60,1269.4578398337,210.8011034169147,15.695512820512821,10523.191082572384,25,5.3362364169035,0.6174079334164759,0.6174079334164759
70,Scan.co.uk,10294,176,2139.1815766165,282.011553780261,23.529434622109967,131955.76975518235,22,7.097014960366,0.4376166354656559,0.4376166354656559
71,Scorptec,3351,235,1952.4985749572,229.05942097301036,21.593554162936435,31982.42165335664,24,7.44963935811897,0.5778416255794743,0.5778416255794743
72,Senetic,68,6,458.7551516432,285.9779186701617,19.529411764705884,9723.249234785499,2,2.560471652649561,0.4305518670104394,0.4305518670104394
73,Shopping Express,2622,97,922.3561938407,176.1614610791611,17.388253241800154,23094.767547478004,20,5.822925273198989,0.578133611929811,0.578133611929811
74,shopRBC,13161,230,1187.2568781723,177.11593974449724,20.27231973254312,93240.91531909312,25,7.32368299866389,0.6553755905045949,0.6553755905045949
75,Skycomp Technology,1139,218,1198.0487804878,239.71533818485608,17.155399473222126,91011.923397517,3,7.487587032981032,0.5854790916343668,0.5854790916343668
76,SmartTeck.co.uk,3559,283,2134.2958792442,225.11674269598794,13.339421185726328,200297.62181375554,4,7.84820905397204,0.4399211119068078,0.4399211119068078
77,Storm Computers,74,15,253.4278231397,116.02276118113924,11.783783783783784,505.04025455319413,17,3.687409106302259,0.6064481901491524,0.6064481901491524
78,SuperBiiz,4026,127,824.99,110.00168705044625,13.485345255837059,17714.671682604578,25,6.390857312065499,0.0,0.0
79,Umart,7409,270,2024.5283726512,156.22347038642707,16.43001754622756,46298.387683721405,25,7.7689470426839335,0.5723603358182409,0.5723603358182409
80,Vuugo,27177,364,1148.4316135939998,151.23784258886747,15.779813813150826,164407.6339215059,25,7.1571989862286935,0.6482679993197498,0.6482679993197498
81,YoYoTech,34,6,323.959410139,150.410315175603,10.941176470588236,1278.487678992625,4,2.4275051383754205,0.3227569588973982,0.3227569588973982
